,subject_id,arm_index,best_model,log_spiral_mean_score,poly_spiral_1_mean_score,poly_spiral_2_mean_score,poly_spiral_3_mean_score,poly_spiral_4_mean_score,poly_spiral_5_mean_score,poly_spiral_6_mean_score,poly_spiral_7_mean_score,poly_spiral_8_mean_score
12,20902008,1,poly_spiral_1,-3.5120372394244614,-3.3992334559972255,-3.814419114612853,-4.0592230873317,-4.02973860581932,-4.370928949729462,-4.521675352263239,-4.481193801424959,-4.708322330280562
13,20902008,2,poly_spiral_3,-0.2826402721140707,-0.6100093951396602,-0.24314302432846047,0.4138583259395727,0.38323797438793045,0.308426596633399,0.31754034953613675,0.2790480118350862,0.2706178372929634
14,21686612,0,poly_spiral_6,0.6716847054502103,0.7309256251442459,0.7289055901102074,0.7729062249369292,0.7896056737481684,0.7889918404580467,0.7942787669795092,0.7942555270896027,0.793956004841437
15,21686607,0,log_spiral,0.5913688320900231,0.5632528030287257,0.5595859841940118,0.5427158379988379,0.5374076588330579,0.4489261105797328,0.3843370966845108,0.5039894601600527,0.07197633734313773
16,21096922,0,poly_spiral_6,0.8673550065606966,0.8117043342933645,0.8680044898430644,0.8725370482381537,0.8802470935909066,0.8834403301379936,0.8865447826277213,0.8854527346976608,0.8860309343505246
17,21686610,0,poly_spiral_6,-0.31100640011766145,-0.32242908388940617,-0.36898667460156453,-0.3835775037168212,-0.33263005514325444,-0.2635523516781904,-0.2610515924825249,-0.26500230773221856,-0.2649283647391308
18,21686610,1,poly_spiral_6,0.7857715803052192,0.7314223385365904,0.7923430374182993,0.7906702972420394,0.7786157372293653,0.7822306774578599,0.8013251014795972,0.799275833185835,0.7981078817828468
19,20902022,0,poly_spiral_7,0.6719629580250492,0.6291646317348707,0.674608665858571,0.6817500452987891,0.6726156772047933,0.6779527619519106,0.6789863812691681,0.6821958022467549,0.6812144763601372
20,20902022,1,poly_spiral_1,0.8618783386030913,0.8798119422162383,0.8714341655526259,0.8709880912175294,0.8696315450086745,0.8664126733867709,0.8657393229732354,0.8632102012437126,0.861437361598028
21,21686566,0,poly_spiral_5,0.8541981268506493,0.7903420787652435,0.8289056837776941,0.8670482236286574,0.8646123909942657,0.867267991869503,0.8658579129907394,0.8644304629499145,0.8629032030203884
22,21686566,1,poly_spiral_2,0.7470751719659964,0.8335051513761674,0.8358829854566967,0.8346793925305652,0.8348520622116762,0.8327847787567249,0.8308758024239936,0.8307010635561194,0.829365238768404
23,21096891,0,poly_spiral_2,0.5703641979527334,0.48774029216484804,0.5853061079771635,0.5791693425272009,0.5781256278427002,0.5779139783825402,0.5771187875273815,0.577618627626092,0.5771645009599281
24,21096891,1,poly_spiral_1,0.06215617113205011,0.07928623026363447,0.05898320075217037,0.04976757737790156,0.0014324579810034016,0.003089237706185452,-0.030046410022106465,-0.05197485063353293,-0.050714601732223724
